cycle,scroll_idx,ts_iso,req_method,req_res_type,status,content_type,url,friendly_name,doc_id,is_json,has_serp,json_hash,req_json_path,res_body_path,res_json_path,req_size,res_size
0,-1,2025-09-14T14:24:10.387897+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,fetchMWChatVideoAutoplaySettingQuery,,1,0,c3ed8d467dd9,cycle_00\scroll_-0001\req_1757859850387.json,cycle_00\scroll_-0001\res_1757859850387.bin,cycle_00\scroll_-0001\res_1757859850387.json,0,204
0,-1,2025-09-14T14:24:10.776315+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,2be85e8de5f6,cycle_00\scroll_-0001\req_1757859850776.json,cycle_00\scroll_-0001\res_1757859850776.bin,cycle_00\scroll_-0001\res_1757859850776.json,0,334992
0,-1,2025-09-14T14:24:15.529784+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,RTWebCallBlockSettingHooksQuery,,1,0,d6c8344df038,cycle_00\scroll_-0001\req_1757859855529.json,cycle_00\scroll_-0001\res_1757859855529.bin,cycle_00\scroll_-0001\res_1757859855529.json,0,166
0,-1,2025-09-14T14:24:15.536302+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,useMWEncryptedBackupsFetchBackupIdsV2Query,,1,0,5add645c9e24,cycle_00\scroll_-0001\req_1757859855536.json,cycle_00\scroll_-0001\res_1757859855536.bin,cycle_00\scroll_-0001\res_1757859855536.json,0,2317
0,-1,2025-09-14T14:24:15.538446+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,CometSearchBootstrapKeywordsDataSourceQuery,,1,0,6359996b38d4,cycle_00\scroll_-0001\req_1757859855538.json,cycle_00\scroll_-0001\res_1757859855538.bin,cycle_00\scroll_-0001\res_1757859855538.json,0,431638
0,-1,2025-09-14T14:24:15.540173+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,MAWVerifyThreadCutover_ContactCapabilities2Query,,1,0,003fc63d1842,cycle_00\scroll_-0001\req_1757859855540.json,cycle_00\scroll_-0001\res_1757859855540.bin,cycle_00\scroll_-0001\res_1757859855540.json,0,200
0,-1,2025-09-14T14:24:15.587106+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,FBScreenTimeLogger_syncMutation,,1,0,510a8f664e4a,cycle_00\scroll_-0001\req_1757859855587.json,cycle_00\scroll_-0001\res_1757859855587.bin,cycle_00\scroll_-0001\res_1757859855587.json,0,235
0,0,2025-09-14T14:24:23.959391+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,f8b0f90ed6fd,cycle_00\scroll_00000\req_1757859863959.json,cycle_00\scroll_00000\res_1757859863959.bin,cycle_00\scroll_00000\res_1757859863959.json,0,334895
0,1,2025-09-14T14:24:25.995318+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,a728d032240d,cycle_00\scroll_00001\req_1757859865995.json,cycle_00\scroll_00001\res_1757859865995.bin,cycle_00\scroll_00001\res_1757859865995.json,0,344503
0,2,2025-09-14T14:24:28.023683+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,32eb3fa4067b,cycle_00\scroll_00002\req_1757859868023.json,cycle_00\scroll_00002\res_1757859868023.bin,cycle_00\scroll_00002\res_1757859868023.json,0,330314
0,3,2025-09-14T14:24:30.049341+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,0,0,,cycle_00\scroll_00003\req_1757859870049.json,cycle_00\scroll_00003\res_1757859870049.bin,,0,733067
0,4,2025-09-14T14:24:32.112389+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,336c104befde,cycle_00\scroll_00004\req_1757859872112.json,cycle_00\scroll_00004\res_1757859872112.bin,cycle_00\scroll_00004\res_1757859872112.json,0,336175
0,5,2025-09-14T14:24:34.140915+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,af6d3433751f,cycle_00\scroll_00005\req_1757859874140.json,cycle_00\scroll_00005\res_1757859874140.bin,cycle_00\scroll_00005\res_1757859874140.json,0,229080
0,6,2025-09-14T14:24:36.166389+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,18568bce4067,cycle_00\scroll_00006\req_1757859876166.json,cycle_00\scroll_00006\res_1757859876166.bin,cycle_00\scroll_00006\res_1757859876166.json,0,333700
0,7,2025-09-14T14:24:38.195973+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,d2e196021346,cycle_00\scroll_00007\req_1757859878195.json,cycle_00\scroll_00007\res_1757859878195.bin,cycle_00\scroll_00007\res_1757859878195.json,0,462779
0,8,2025-09-14T14:24:40.239139+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,e46965bb3eb8,cycle_00\scroll_00008\req_1757859880239.json,cycle_00\scroll_00008\res_1757859880239.bin,cycle_00\scroll_00008\res_1757859880239.json,0,333616
0,9,2025-09-14T14:24:42.269217+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,f7a17ed25592,cycle_00\scroll_00009\req_1757859882269.json,cycle_00\scroll_00009\res_1757859882269.bin,cycle_00\scroll_00009\res_1757859882269.json,0,230406
0,10,2025-09-14T14:24:44.295675+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,f3271ba4d659,cycle_00\scroll_00010\req_1757859884295.json,cycle_00\scroll_00010\res_1757859884295.bin,cycle_00\scroll_00010\res_1757859884295.json,0,333899
0,11,2025-09-14T14:24:46.329353+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,941bdae50b7a,cycle_00\scroll_00011\req_1757859886329.json,cycle_00\scroll_00011\res_1757859886329.bin,cycle_00\scroll_00011\res_1757859886329.json,0,587658
0,11,2025-09-14T14:24:46.359856+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,MWChatSettingsQuery,,1,0,23031b66d864,cycle_00\scroll_00011\req_1757859886359.json,cycle_00\scroll_00011\res_1757859886359.bin,cycle_00\scroll_00011\res_1757859886359.json,0,194
0,11,2025-09-14T14:24:46.379295+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,MAWSecureThreadQPContainerQuery,,0,0,,cycle_00\scroll_00011\req_1757859886379.json,cycle_00\scroll_00011\res_1757859886379.bin,,0,1219
0,11,2025-09-14T14:24:46.381649+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,MWChatTabInThreadBannerQuery,,1,0,e9531db9ef99,cycle_00\scroll_00011\req_1757859886381.json,cycle_00\scroll_00011\res_1757859886381.bin,cycle_00\scroll_00011\res_1757859886381.json,0,250
0,12,2025-09-14T14:24:46.415092+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,CometMessagingJewelDropdownEBUpsellContainerQuery,,0,0,,cycle_00\scroll_00012\req_1757859886415.json,cycle_00\scroll_00012\res_1757859886415.bin,,0,2458
0,12,2025-09-14T14:24:46.417107+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,UpdateUserLastActiveMutation,,1,0,5281954dad06,cycle_00\scroll_00012\req_1757859886417.json,cycle_00\scroll_00012\res_1757859886417.bin,cycle_00\scroll_00012\res_1757859886417.json,0,183
0,12,2025-09-14T14:24:46.418863+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,EBMessageMetadataQueryQuery,,1,0,7c984061143b,cycle_00\scroll_00012\req_1757859886418.json,cycle_00\scroll_00012\res_1757859886418.bin,cycle_00\scroll_00012\res_1757859886418.json,0,307
0,12,2025-09-14T14:24:48.450940+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,699db76ec459,cycle_00\scroll_00012\req_1757859888450.json,cycle_00\scroll_00012\res_1757859888450.bin,cycle_00\scroll_00012\res_1757859888450.json,0,369509
0,13,2025-09-14T14:24:50.498474+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,2a78a68bc18a,cycle_00\scroll_00013\req_1757859890498.json,cycle_00\scroll_00013\res_1757859890498.bin,cycle_00\scroll_00013\res_1757859890498.json,0,370013
0,14,2025-09-14T14:24:52.555693+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,64b8cf66c5d6,cycle_00\scroll_00014\req_1757859892555.json,cycle_00\scroll_00014\res_1757859892555.bin,cycle_00\scroll_00014\res_1757859892555.json,0,51069
0,15,2025-09-14T14:24:54.616505+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,UpdateUserLastActiveMutation,,1,0,1f5397853c8a,cycle_00\scroll_00015\req_1757859894616.json,cycle_00\scroll_00015\res_1757859894616.bin,cycle_00\scroll_00015\res_1757859894616.json,0,183
