text,timestamp_utc,timestamp_manila,permalink,friendly_name,doc_id,cycle,scroll_idx,json_file
"WALANG PASOK: Classes in ALL LEVELS for public schools and work in GOVERNMENT OFFICES are suspended in the City of Manila from from August 23-24, 2022 due to severe tropical storm #FloritaPH per the Office of the Press Secretary.

For your information.

#AlertoManileno #WalangPasok",2022-08-23T05:49:25+00:00,2022-08-23T05:49:25+00:00,,SearchCometResultsPaginatedResultsQuery,,0,-1,cycle_00\scroll_-0001\res_1757859747728.json
"WALANG PASOK: Dahil sa nararanasan na sama ng panahon dulot ng bagyong #KristinePH , suspendido ang klase sa LAHAT NG ANTAS sa pampubliko at pribadong paaralan sa Huwebes, October 24, 2024, dahil sa nakataas na Tropical Cyclone Wind Signal No. 2 sa Kalakhang Maynila.

Magsasagawa ng make-up classes bilang kapalit ng mga araw na walang pasok.

Inaanyayaan ang lahat na manatili sa kanilang mga tahanan, maghanda, at mag-ingat. 

#WalangPasok",2024-10-23T09:35:03+00:00,2024-10-23T09:35:03+00:00,,SearchCometResultsPaginatedResultsQuery,,0,-1,cycle_00\scroll_-0001\res_1757859747728.json
